race_type,race_location,race_day,race_time,rank,bib,name,country,start_behind,prone1,prone2,stand1,stand2,err_total,result_time,cup_points,pdf_path,race_id,gender,race_country
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,1,2,SCHEMPP Simon,GER,0:01,1,1,0,1,3,33:27.8,60,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,2,7,BOE Johannes Thingnes,NOR,1:02,0,0,0,1,1,+8.5,54,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,3,5,LESSER Erik,GER,0:38,0,0,1,1,2,+15.7,48,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,4,11,WEGER Benjamin,SUI,1:15,0,0,0,0,0,+18.7,43,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,5,8,DOLL Benedikt,GER,1:03,1,0,1,0,2,+27.3,40,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,6,6,BURKE Tim,USA,0:53,0,0,1,1,2,+31.3,38,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,7,15,LINDSTROEM Fredrik,SWE,1:21,0,0,0,0,0,+36.8,36,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,8,4,LANDERTINGER Dominik,AUT,0:28,0,1,0,2,3,+42.6,34,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,9,3,PEIFFER Arnd,GER,0:23,1,1,0,2,4,+43.5,32,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,10,12,SLESINGR Michal,CZE,1:16,0,1,0,0,1,+45.3,31,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,11,38,EDER Simon,AUT,2:02,1,0,0,0,1,+1:13.2,30,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,12,35,BOE Tarjei,NOR,2:00,0,0,1,1,2,+1:20.6,29,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,13,9,RASTORGUJEVS Andrejs,LAT,1:07,0,0,1,1,2,+1:21.8,28,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,14,29,GARANICHEV Evgeniy,RUS,1:53,0,0,2,0,2,+1:23.2,27,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,15,14,SEMENOV Sergey,UKR,1:21,0,1,1,0,2,+1:26.0,26,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
MEN 12.5 KM PURSUIT,khanty-mansiysk,2016-03-19,18:30,16,10,WINDISCH Dominik,ITA,1:15,0,1,2,1,4,+1:39.3,25,race_data/pursuit/BT_C73D_1.0 - 2020-08-13T195507.389.pdf,0000,male,RUS
