,race_location,rank,bib,name,country,start_behind,prone1,prone2,stand1,stand2,err_total,result_time,cup_points,race_id,gender,race_country,race_datetime,year,month,weekday,tot_shots,p1_shots,p2_shots,tot_p_shots,s1_shots,s2_shots,tot_s_shots,tot_misses,p1_misses,p2_misses,tot_p_misses,s1_misses,s2_misses,tot_s_misses,race_tot_acc,race_p1_acc,race_p2_acc,race_tot_p_acc,race_s1_acc,race_s2_acc,race_tot_s_acc,have_finished,seconds_traveled,distance_traveled,race_avg_speed
0,khanty-mansiysk,1,2,SCHEMPP Simon,GER,0:01,1.0,1.0,0.0,1.0,3.0,33:27.8,60.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,3,1,1,2,0,1,1,0.85,0.8,0.8,0.8,1.0,0.8,0.9,yes,2007.8,12.95,6.449845602151609
1,khanty-mansiysk,2,7,BOE Johannes Thingnes,NOR,1:02,0.0,0.0,0.0,1.0,1.0,+8.5,54.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,1,0,0,0,0,1,1,0.95,1.0,1.0,1.0,1.0,0.8,0.9,yes,2016.3,12.65,6.2738679759956355
2,khanty-mansiysk,3,5,LESSER Erik,GER,0:38,0.0,0.0,1.0,1.0,2.0,+15.7,48.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,2,0,0,0,1,1,2,0.9,1.0,1.0,1.0,0.8,0.8,0.8,yes,2023.5,12.8,6.325673338275266
3,khanty-mansiysk,4,11,WEGER Benjamin,SUI,1:15,0.0,0.0,0.0,0.0,0.0,+18.7,43.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,yes,2026.5,12.5,6.16827041697508
4,khanty-mansiysk,5,8,DOLL Benedikt,GER,1:03,1.0,0.0,1.0,0.0,2.0,+27.3,40.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,2,1,0,1,1,0,1,0.9,0.8,1.0,0.9,0.8,1.0,0.9,yes,2035.1,12.8,6.289617217827134
5,khanty-mansiysk,6,6,BURKE Tim,USA,0:53,0.0,0.0,1.0,1.0,2.0,+31.3,38.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,2,0,0,0,1,1,2,0.9,1.0,1.0,1.0,0.8,0.8,0.8,yes,2039.1,12.8,6.277279191800305
6,khanty-mansiysk,7,15,LINDSTROEM Fredrik,SWE,1:21,0.0,0.0,0.0,0.0,0.0,+36.8,36.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,yes,2044.6,12.5,6.113665264599433
7,khanty-mansiysk,8,4,LANDERTINGER Dominik,AUT,0:28,0.0,1.0,0.0,2.0,3.0,+42.6,34.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,3,0,1,1,0,2,2,0.85,1.0,0.8,0.9,1.0,0.6,0.8,yes,2050.4,12.95,6.3158408115489655
8,khanty-mansiysk,9,3,PEIFFER Arnd,GER,0:23,1.0,1.0,0.0,2.0,4.0,+43.5,32.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,4,1,1,2,0,2,2,0.8,0.8,0.8,0.8,1.0,0.6,0.8,yes,2051.3,13.1,6.386194120801442
9,khanty-mansiysk,10,12,SLESINGR Michal,CZE,1:16,0.0,1.0,0.0,0.0,1.0,+45.3,31.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,1,0,1,1,0,0,0,0.95,1.0,0.8,0.9,1.0,1.0,1.0,yes,2053.1,12.65,6.161414446446837
10,khanty-mansiysk,11,38,EDER Simon,AUT,2:02,1.0,0.0,0.0,0.0,1.0,+1:13.2,30.0,0,male,RUS,2016-03-19 18:30:00,2016,3,Saturday,20,5,5,10,5,5,10,1,1,0,1,0,0,0,0.95,0.8,1.0,0.9,1.0,1.0,1.0,yes,2081.0,12.65,6.078808265257088
