name,gender,distance_traveled,seconds_traveled,oa_avg_speed,tot_shots,tot_misses,oa_acc_score,medals,cup_points,n_of_races,ppr_score
ABE Natsuko (TAKAHASHI),female,10.9,2142.3,5.087989543948093,20,6,0.8042608695652175,0.0,0.0,1,13.263157894736842
ABRAMOVA Olga,female,126.6,24276.9,5.214833854404804,255,53,0.8028201438848921,0.0,142.0,14,12.3125
ADLER Jenny,female,63.15,14016.0,4.5055650684931505,120,21,0.8124285714285715,0.0,31.0,6,11.791666666666666
AFANASJEVA Viktoria,female,11.2,2667.0,4.199475065616798,20,8,0.799913043478261,0.0,0.0,1,13.263157894736842
AKHATOVA Albina,female,381.54999999999995,77588.89999999997,4.917584860721059,740,77,0.8635254237288136,5.0,1122.0,37,24.98181818181818
AKIMOVA Tatiana (SEMENOVA),female,198.10000000000002,38357.0,5.16463748468337,380,54,0.8316585365853659,1.0,294.0,19,14.756756756756756
ALBERT Martine,female,10.3,2336.4,4.40849169662729,20,2,0.8129565217391305,0.0,0.0,2,12.6
ALIFIRAVETS Olga,female,10.15,2080.7,4.878166001826309,20,1,0.8151304347826088,0.0,0.0,1,13.263157894736842
ALIKINA Aleksandra,female,21.5,4656.7,4.617003457383984,40,10,0.8040833333333334,0.0,5.0,2,12.85
ALIMBEKAVA Dzinara,female,95.85000000000001,18736.899999999998,5.1155740810913235,195,44,0.7983622047244096,0.0,33.0,10,10.178571428571429
ANANKO Liudmila,female,148.7,31074.199999999997,4.785320297867685,305,68,0.7959194630872484,0.0,124.0,26,8.545454545454545
ANDERSSON Ingela,female,73.6,14336.8,5.133642095865186,140,24,0.8137241379310346,0.0,20.0,7,10.88
ANDREASSEN Gunn Margit,female,302.15000000000003,61701.7,4.896947734017054,580,81,0.8381960784313726,1.0,677.0,31,18.959183673469386
ANISIMOVA Olga,female,167.79999999999998,34714.7,4.833687169988506,320,52,0.8210000000000001,0.0,291.0,16,15.970588235294118
APEL Katrin,female,498.05000000000007,98542.70000000003,5.054154188996241,940,187,0.8035942028985508,4.0,1478.0,47,26.615384615384617
ARLOUSKAYA Ludmila,female,21.05,4366.299999999999,4.821015505118751,40,7,0.8103333333333335,0.0,4.0,3,12.19047619047619
AVVAKUMOVA Ekaterina,female,51.8,10321.500000000002,5.018650389962699,100,12,0.8221481481481482,0.0,25.0,5,12.043478260869565
AYMONIER Celia,female,320.7,59484.00000000001,5.39136574541053,600,138,0.7865000000000001,0.0,534.0,30,16.375
BACHMANN Tina,female,243.35000000000002,48427.30000000001,5.025058179993516,460,89,0.8077333333333334,0.0,495.0,23,18.21951219512195
BAILLY Anne Lise,female,0.0,0.0,,15,8,0.7977142857142858,0.0,0.0,1,13.263157894736842
BAILLY Sandrine,female,654.65,129328.79999999997,5.0619042316947205,1240,231,0.8124761904761905,16.0,2131.0,64,29.0609756097561
BANKES Megan,female,21.2,4027.8999999999996,5.2632885622781105,70,22,0.7920784313725491,0.0,2.0,4,11.545454545454545
BARNES Lanny,female,53.150000000000006,11280.8,4.711545280476563,135,33,0.7964521739130436,0.0,2.0,11,8.758620689655173
BARNES Tracy,female,52.400000000000006,11668.3,4.490799859448249,100,16,0.8147407407407408,0.0,19.0,5,11.782608695652174
BAVEREL-ROBERT Florence,female,372.3,77034.9,4.832874450411437,720,82,0.8568620689655173,1.0,952.0,37,21.89090909090909
