ind;orig_name;first;first_pct;second;second_pct;third;third_pct;fourth;fourth_pct;keep name
0;SCHEMPP Simon;EDER Simon;64;DESTHIEUX Simon;64;SCHREMPF Romana;64;HALLSTROEM Simon;62;
1;BOE Johannes Thingnes;BOE Tarjei;86;KUEHN Johannes;86;DALE Johannes;86;KÜHN Johannes;86;k
2;LESSER Erik;GOESSNER Miriam;62;FORSBERG Henrik;62;EDER Mari;60;GÖSSNER Miriam;58;
3;WEGER Benjamin;HARTWEGER Fabienne;62;WIESTNER Serafin;60;GREEN Brendan;59;WAEGER Lorenz;59;
4;DOLL Benedikt;KNOLL Annika;56;DOELL Juliane;54;DOKL Peter;52;L'ABEE-LUND Henrik;52;
5;BURKE Tim;BAUER Klemen;57;BARTKO Simon;57;BOE Tarjei;53;FOURCADE Simon;52;
6;LINDSTROEM Fredrik;LINDSTROM Fredrik;97;LINDSTRÖM Fredrik;94;PINTER Friedrich;65;TJÖRHOM Linda;62;1-2
7;LANDERTINGER Dominik;WINDISCH Dominik;61;DUERINGER Ramona;61;DENKINGER Simone;56;DORIN HABERT Marie;55;
8;PEIFFER Arnd;EIE Kari;60;OBERHOFER Karin;59;EDER Mari;57;JAEGER Martin;56;
9;SLESINGR Michal;WILLEITNER Michael;73;REITER Michael;69;HAUSER Michael;69;SIMA Michal;69;
10;EDER Simon;DESTHIEUX Simon;86;HALLENBARTER Simon;86;EDER Mari (LAUKKANEN);86;HALLSTROEM Simon;86;k
11;BOE Tarjei;BOE Johannes Thingnes;86;BOEUF Alexis;64;BOLLIET Marine;58;MAKOVEEV Andrei;57;k
12;RASTORGUJEVS Andrejs;GRASIC Andreja;59;MAKOVEEV Andrei;57;ANDRESEN Frode;56;TOBRELUTS Indrek;56;
13;GARANICHEV Evgeniy;ABRAMENKO Evgeny;65;STEPANOV Evgeni;61;FISCHER Sven;60;PAVLOVA Evgeniya;59;
14;SEMENOV Sergey;SEMENOV Serhiy;86;SEMENOV Sergii;86;NOVIKOV Sergey;71;SEDNEV Serguei;71;1-2
15;WINDISCH Dominik;WINDISCH Markus;71;VINDISAR Nika;62;LANDERTINGER Dominik;58;DISL Uschi;57;
16;KRCMAR Michal;SIMA Michal;75;RÖSCH Michael;72;PIECHA Michal;69;ROESCH Michael;67;
17;EBERHARD Julian;EBERHARD Tobias;73;ROBERT Julien;64;DÖLL Juliane;62;RANSOM Julia;59;
18;ZHYRNYI Oleksander;ZHYRNYI Oleksandr;97;SYMAN Aleksandr;67;ZAROVNII Alexander;67;OS Alexander;66;1
19;SHIPULIN Anton;SHIPULINA Anastasia;73;KUZMINA Anastasiya (SHIPULINA);70;SINAPOV Anton;67;SPRUNG Anna;64;
20;HOFER Lukas;INNERHOFER Katharina;66;OBERHOFER Karin;62;KRISTEJN Lukas;59;FRATZSCHER Lucas;59;
21;BAILEY Lowell;BOILLEY Sophie;59;BAILLY Anne Lise;55;LIE Lotte;55;SLEPOV Alexey;51;
22;DESTHIEUX Simon;EDER Simon;86;DENKINGER Simone;65;SIMON Julia;59;HALLSTROEM Simon;58;k
23;DAROZHKA Aliaksandr;BABCHYN Aliaksandr;70;ALIKINA Aleksandra;65;LIF Asa;64;SYMAN Aleksandr;59;
24;MORAVEC Ondrej;GRASIC Andreja;64;MALI Andreja;62;MAKOVEEV Andrei;62;MOERKVE Jori;62;
25;SOUKUP Jaroslav;MATIASKO Miroslav;56;SOUKALOVA Gabriela;55;KAUPPINEN Jarkko;52;KOUKALOVA Gabriela (SOUKALOVA);52;
26;SLEPOV Alexey;VOLKOV Alexey;77;SOLOVIEV Alexei;71;ALMOUKOV Alexei;64;CHURINE Alexey;60;k
27;KILCHYTSKYY Vitaliy;RUDENCHYK Vitaliy;67;TSVETAU Vitali;55;MIKLASHEVSKY Vladimir;50;KIELTYKA Beata;48;
28;NELIN Jesper;SENDEL Peter;58;GASPARIN Selina;56;FEMLING Peppe;56;FINELLO Jeremy;54;
29;SINAPOV Anton;PANTOV Anton;72;BABIKOV Anton;69;SHIPULIN Anton;67;MURINOVA Anna;62;
30;VOLKOV Alexey;SLEPOV Alexey;77;ALMOUKOV Alexei;71;SOLOVIEV Alexei;71;CHERVYHKOV Alexsandr;62;k
31;DOHERTY Sean;HJERT Susanne;64;FISCHER Sven;58;ROBERT Julien;56;EDER Simon;55;
32;MALYSHKO Dmitry;YAROSHENKO Dmitri;69;ABASHEU Dzmitry;67;ALENISHKO Vladimir;67;LAZOUSKI Dzmitry;65;
